time (sec),X raw (m/s^2),Y raw (m/s^2),Z raw (m/s^2)
4.40714,1.03339,1.1944,10.1526
4.41718,0.909792,1.1347,10.1162
4.42722,0.736961,1.01992,10.0409
4.43726,0.602887,0.888992,9.98931
4.4473,0.583434,0.827342,10.024
4.45734,0.600792,0.786042,9.9908
4.46738,0.581788,0.682793,9.84311
4.47742,0.518492,0.556799,9.74645
4.48745,0.422425,0.523729,9.72774
4.49749,0.446067,0.56458,9.59696
4.50753,0.512506,0.585529,9.52049
4.51757,0.608124,0.620993,9.45406
4.52761,0.656606,0.681297,9.29574
4.53765,0.660647,0.695961,9.22257
4.54769,0.679351,0.758659,9.26671
4.55773,0.681446,0.837517,9.38447
4.56777,0.811181,0.923409,9.41874
4.57781,1.03414,0.974435,9.46393
4.58784,1.33282,1.00601,9.57242
4.59788,1.64256,0.969198,9.66579
4.60792,1.94109,0.841258,9.63916
4.61796,2.3475,0.675461,9.52154
4.628,2.79267,0.514451,9.54309
4.63804,3.20971,0.529565,9.57122
4.64808,3.49671,0.562036,9.53022
4.65812,3.68361,0.589569,9.6221
4.66816,3.83998,0.662442,9.784
4.6782,3.93335,0.750279,9.83458
4.68824,4.10289,0.747436,9.78834
4.69827,4.18938,0.567124,9.82471
4.70831,4.32406,0.409556,9.88321
4.71835,4.69845,0.320073,9.75737
4.72839,5.20646,0.235828,9.63916
4.73843,5.67154,0.185101,9.63512
4.74847,5.96722,0.241514,9.62599
4.75851,6.01286,0.289847,9.58274
4.76855,5.90721,0.186747,9.51316
4.77859,5.811,0.117016,9.49565
4.78863,5.83269,0.0953187,9.50164
4.79866,5.88088,0.00718257,9.50119
4.8087,5.90856,-0.0125695,9.60773
4.81874,5.84796,0.013617,9.71293
4.82878,5.66824,-0.0442925,9.63347
4.83882,5.40369,-0.21428,9.39315
4.84886,5.01912,-0.380975,9.59561
4.8589,4.53459,-0.445469,10.0742
4.86894,4.21153,-0.454896,10.2347
4.87898,3.96687,-0.551561,10.4987
4.88902,3.45945,-0.74564,10.7668
4.89906,2.67446,-0.941964,10.7863
4.90909,1.89769,-1.13844,10.8545
4.91913,1.26907,-1.31202,10.8618
4.92917,0.720651,-1.44729,10.8603
4.93921,0.143352,-1.53438,10.9486
4.94925,-0.438586,-1.58421,10.9265
4.95929,-0.960519,-1.60725,10.8469
4.96933,-1.34509,-1.61802,10.8327
4.97937,-1.72531,-1.63089,10.6836
4.98941,-2.10883,-1.52076,10.4623
4.99945,-2.28346,-1.20368,10.3594
5.00948,-2.39943,-0.858167,10.2833
5.01952,-2.55864,-0.484823,10.2317
5.02956,-2.47754,-0.0680848,10.2814
5.0396,-2.17467,0.285657,10.2645
5.04964,-1.81839,0.568171,10.2136
5.05968,-1.47617,0.761801,10.1883
5.06972,-1.21326,0.887496,10.1985
5.07976,-1.00017,1.0093,10.1107
5.0898,-0.829736,1.10746,10.0146
5.09984,-0.732023,1.18931,9.92885
5.10988,-0.726038,1.26563,9.86466
5.11991,-0.744892,1.35825,9.83683
5.12995,-0.626679,1.44624,9.80675
5.13999,-0.315434,1.57164,9.72654
5.15003,0.00718257,1.71768,9.74764
5.16007,0.261416,1.87959,9.75872
5.17011,0.480634,2.04583,9.70739
5.18015,0.719304,2.20939,9.62464
5.19019,0.946303,2.31039,9.54878
5.20023,1.08606,2.35304,9.45241
5.21027,1.15415,2.38925,9.36083
5.2203,1.21056,2.37982,9.292
5.23034,1.2565,2.33538,9.24202
5.24038,1.32878,2.31234,9.20057
5.25042,1.43202,2.24919,9.20222
5.26046,1.49577,2.17916,9.17857
5.2705,1.52255,2.1208,9.14341
5.28054,1.5447,2.07501,9.17483
5.29058,1.54829,2.04419,9.26058
5.30062,1.57927,2.03267,9.34138
5.31066,1.5863,1.98837,9.34931
5.3207,1.6894,1.94618,9.30352
5.33073,1.82123,1.92508,9.29694
5.34077,1.89246,1.92403,9.30726
5.35081,1.92717,1.89814,9.32537
5.36085,2.02294,1.90218,9.28856
5.37089,2.13532,1.90907,9.22915
5.38093,2.18589,1.9143,9.18576
5.39097,2.19308,1.93061,9.18142
5.40101,2.18051,1.9381,9.20162
